Customer #	Interarrival Time (minutes)	Service Time (minutes)
1	4.19	1.67
2	5.19	1.83
3	3.64	3.18
4	4.58	2.04
5	3.87	4.84
6	4.22	3.16
7	3.09	1.25
8	3.83	3.35
9	4.00	3.64
10	4.33	2.53
11	5.15	2.56
12	4.34	3.17
13	4.05	4.28
14	3.19	3.19
15	3.01	4.41
16	3.31	3.10
17	4.37	3.18
18	2.54	3.67
19	3.47	3.84
20	4.28	1.37
21	3.18	4.58
22	2.97	2.84
23	4.64	2.15
24	4.29	4.14
25	4.69	1.84
26	3.01	3.95
27	3.82	2.32
28	6.01	4.08
29	4.63	2.05
30	4.81	2.13
31	3.88	3.77
32	3.87	3.93
33	3.23	2.46
34	4.57	3.82
35	4.51	2.37
36	4.69	1.47
37	4.51	2.32
38	2.62	1.47
39	3.02	2.61
40	4.35	1.88
41	2.20	3.29
42	4.98	1.45
43	3.52	0.32
44	4.14	3.81
45	4.28	3.06
46	3.98	3.78
47	3.49	3.49
48	4.21	1.64
49	4.85	3.01
50	4.93	3.53
51	4.60	4.95
52	3.54	3.94
53	3.60	3.72
54	5.08	3.16
55	4.10	2.44
56	3.05	1.11
57	4.32	5.74
58	2.58	2.09
59	4.50	4.86
60	1.96	5.41
61	4.98	2.25
62	4.93	3.20
63	1.77	2.24
64	4.25	3.67
65	5.23	2.04
66	4.56	3.15
67	4.50	4.56
68	4.08	4.21
69	4.78	2.86
70	3.65	3.05
71	3.00	2.40
72	2.98	2.41
73	3.57	2.26
74	6.70	3.27
75	2.95	1.89
76	4.30	5.08
77	3.36	3.67
78	2.88	1.18
79	5.36	2.48
80	4.49	3.26
81	5.81	3.63
82	5.21	1.92
83	4.22	2.70
84	2.90	3.29
85	6.25	3.56
86	4.34	2.35
87	3.98	3.25
88	4.28	3.56
89	2.51	3.05
90	4.60	5.32
91	3.53	4.13
92	3.29	3.23
93	4.72	4.52
94	4.55	2.40
95	3.95	4.35
96	4.07	3.85
97	2.81	2.66
98	4.88	4.38
99	2.87	3.76
100	3.42	3.51
101	4.27	5.46
102	4.09	1.98
103	4.73	3.97
104	3.12	3.97
105	4.41	3.20
106	5.31	3.62
107	4.40	3.33
108	5.12	1.51
109	3.69	2.45
